freq,PowerSpec,sum
0.0,3.3717473257866004e-13 + 0.0im,-2.069899807111142e-12 + 0.0im
0.05263157894736842,-1.860912647737989 - 4.817132575195189im,96.02748697768067 - 488.0720324920861im
0.10526315789473684,2.525353464635949 + 3.819229874760423im,134.20136072426078 - 458.59366796620327im
0.15789473684210525,3.1112294704616503 + 7.9128762988658865im,24.90486911635261 - 220.63135728339128im
0.21052631578947367,2.2725322559525605 + 1.844666133078659im,-48.40122370050816 - 251.71404092277342im
0.2631578947368421,-5.078805516653608 - 2.5648497247538984im,-30.993389668809883 - 70.6470989866747im
0.3157894736842105,3.616797509111418 - 0.9039616614053085im,-6.907289870023902 - 66.80979150204314im
0.3684210526315789,6.73934581482855 + 17.3151643098159im,41.66661141592067 - 39.273144564326586im
0.42105263157894735,1.9855069534041527 + 4.09030829816819im,11.530692354125685 + 40.68058368837361im
0.47368421052631576,1.1164456849400715 + 2.188799369847544im,-57.81751500433717 - 53.573455022116875im
0.5263157894736842,-1.2244257300655152 - 1.080970439117492im,80.10789957221445 - 38.76398736845235im
0.5789473684210527,1.0071234036531616 + 4.287094620798827im,-41.74193434671558 + 3.555599904942724im
0.631578947368421,1.3049783489298763 + 2.5839433992667598im,20.745691359878244 + 92.51312882335993im
0.6842105263157894,1.4602444311471807 + 2.4306975637975996im,23.76046784350646 - 12.804170437835499im
0.7368421052631579,-0.9042698040647672 - 0.8722529054017059im,-92.53871847645289 - 142.75823178564343im
0.7894736842105263,1.5330180900297297 - 1.167108154215929im,104.70712026506804 + 10.100040434099206im
0.8421052631578947,0.695432408904447 + 1.4975021775094612im,11.44408923222178 - 193.6803651111733im
0.894736842105263,0.3703227699195233 + 1.7823419136613181im,-49.63576952289858 - 111.60173486664594im
0.9473684210526315,8.672044096752536 + 0.5419154908664983im,26.953244191222037 + 26.16672412962425im
1.0,-3.2004643829819597 + 5.546475761704395im,-48.34627876870194 - 106.90143753082127im
1.0526315789473684,5.735356063225663 - 1.266338096190956im,68.65157242818213 - 103.61198983662811im
1.1052631578947367,0.2590171479093592 + 0.1769004265580312im,4.274842385177909 + 14.453056906526054im
1.1578947368421053,7.346271619672829 - 2.3682044913192826im,139.08305363962756 + 48.70584838014879im
1.2105263157894737,1.9527471699372032 + 13.260167067932304im,-12.986588335778285 + 37.87101225979663im
1.263157894736842,5.062798900792928 - 0.6057864199979786im,31.616666873677026 + 84.65587455864792im
1.3157894736842104,3.5594159792377846 - 2.5040242576423033im,40.63474657853097 + 18.577100839379753im
1.3684210526315788,-1.417676251114063 + 12.719031911421848im,-10.139792371871184 - 90.61216821901539im
1.4210526315789473,-7.0274313974373275 + 1.1137559750181782im,113.06712412182382 + 15.045023057889024im
