freq,PowerSpec,sum
0.0,6.428191312579656e-14 + 0.0im,3.984590435379687e-13 + 0.0im
0.05263157894736842,6.79909366744094 - 9.742305184410318im,-4.146920833051289 - 108.00471676158982im
0.10526315789473684,3.9538860447489075 - 2.206191549775597im,16.400060916950473 - 46.74139546441685im
0.15789473684210525,1.5569697829153224 - 0.7633570297510027im,0.7804347614146239 - 15.10971700050656im
0.21052631578947367,-0.006280791397872895 - 3.75186482091422im,-1.4878923862406852 - 35.32676988221715im
0.2631578947368421,-0.053561673614076794 - 4.019396641023124im,19.089723476437058 - 25.51754641439483im
0.3157894736842105,-1.7298457310622086 - 0.7803995188759563im,-4.074571365819109 + 4.419083210096702im
0.3684210526315789,0.6994664904011559 - 0.9119122528186518im,7.941687997451758 + 1.6118292958722815im
0.42105263157894735,1.823793323060169 + 1.2811777843132552im,1.0934868643241415 - 15.191298125369437im
0.47368421052631576,-0.9333643255689938 - 0.24810006379577904im,8.998454732643086 + 2.786188088187849im
0.5263157894736842,0.16008259921401075 - 1.1748941657960004im,-10.532207140360816 - 6.707293746377977im
0.5789473684210527,2.611006363985945 - 4.1649468378800965im,-5.593612881565987 - 9.330076743814661im
0.631578947368421,1.8235733402294612 + 2.45713827857001im,-0.433079841752106 + 0.6879126154798307im
0.6842105263157894,-1.196113728579915 + 1.2209631688105336im,9.0263053777452 + 0.7952846618777079im
0.7368421052631579,1.2135048361721146 + 2.259549775834112im,13.23776550607435 - 11.2798068358154im
0.7894736842105263,0.6519267881913305 - 0.27182023835665026im,-1.9084032434737503 - 18.259728807900455im
0.8421052631578947,-0.016886851191737107 + 2.3358502305995428im,-2.2168681431622383 - 6.377750210563149im
0.894736842105263,1.2344670604861543 + 2.3880733350502705im,1.4008314873861671 - 8.179642856365893im
0.9473684210526315,-2.730778462663567 + 1.8383947341779279im,-6.75551312795625 - 3.5611523109157823im
1.0,0.20902748804366 - 3.184029279154466im,15.14828331718077 - 9.444019212654043im
1.0526315789473684,0.3099655750666714 + 2.3260560933411734im,7.28346314483829 + 4.935492986994812im
1.1052631578947367,-0.9034799160597236 - 0.39980983905817447im,-4.879060890040418 - 4.040691480920635im
1.1578947368421053,2.1381382957577837 + 0.2171591424873394im,-1.3099422618032994 - 11.040053309226897im
