freq,PowerSpec,sum
3.5,0.0758342905309201 - 0.06184165017989196im,2.251375988307169 - 1.2568674655291499im
3.6,0.10342367091994498 - 0.04367104525244503im,2.2845188294461485 - 1.0720320276647195im
3.7,0.09696386260578482 - 0.03562884811432998im,2.216245183867955 - 0.856738466488729im
3.8000000000000003,0.09290184077419096 - 0.03706215990248847im,2.2066266497122555 - 0.9277546219549195im
3.9000000000000004,0.09484308252537749 - 0.0332401427789547im,2.2167578003749746 - 0.8743251251644105im
4.0,0.09283281220211223 - 0.029312831992426416im,2.1821978238732775 - 0.7766365701595236im
4.1000000000000005,0.09287067970116991 - 0.026223922965146806im,2.23346118307193 - 0.6774724152484457im
4.2,0.09285419895308691 - 0.023207994756313494im,2.226912806499607 - 0.6167568481045319im
4.3,0.0928437039805001 - 0.02023062995131511im,2.2261127363917055 - 0.5361262436053179im
4.4,0.09283905952751256 - 0.017284590784842645im,2.210388207595495 - 0.4369132295695242im
4.5,0.09283811940586897 - 0.014364678667280167im,2.250603957807892 - 0.3935796663906519im
4.6000000000000005,0.09283915621524211 - 0.011466244042919349im,2.2212671417952863 - 0.2982683673732441im
4.7,0.09284096636119266 - 0.008584856588955248im,2.2279971649857924 - 0.21818103931865168im
4.800000000000001,0.09284275010772347 - 0.005716192563025066im,2.2188818890840025 - 0.13137172471403968im
4.9,0.09284400406797036 - 0.002855985497517477im,2.217187121277442 - 0.06519674718523906im
-5.0,0.0928444514724015 + 0.0im,2.222348151797039 + 0.0im
-4.9,0.09284400406797041 + 0.0028559854975173105im,2.2171871212774423 + 0.06519674718523916im
-4.800000000000001,0.09284275010772347 + 0.00571619256302508im,2.2188818890840047 + 0.1313717247140377im
-4.7,0.09284096636119288 + 0.008584856588955275im,2.2279971649857933 + 0.21818103931865226im
-4.6000000000000005,0.09283915621524219 + 0.01146624404291946im,2.221267141795286 + 0.29826836737324247im
-4.5,0.092838119405869 + 0.01436467866728025im,2.2506039578078925 + 0.39357966639065217im
-4.4,0.09283905952751248 + 0.01728459078484279im,2.2103882075954973 + 0.4369132295695248im
-4.3,0.09284370398049999 + 0.020230629951315082im,2.226112736391707 + 0.5361262436053165im
-4.2,0.09285419895308689 + 0.023207994756313466im,2.2269128064996075 + 0.6167568481045327im
-4.1000000000000005,0.09287067970116986 + 0.026223922965146806im,2.233461183071931 + 0.6774724152484457im
-4.0,0.09283281220211223 + 0.029312831992426416im,2.1821978238732775 + 0.7766365701595236im
-3.9000000000000004,0.09484308252537782 + 0.03324014277895471im,2.2167578003749755 + 0.874325125164407im
