freq,PowerSpec,sum
0.0,-7.327471962526033e-15 + 0.0im,1.1102230246251565e-14 + 0.0im
0.1,0.617368345194826 - 1.393410209155748im,3.6287645034989606 - 11.79417514018221im
0.2,0.18407314067931504 - 1.5827399512138096im,4.539361261527278 + 5.75782556197472im
0.30000000000000004,0.012301711269437576 - 0.30277702938204926im,-2.7126917074991903 - 3.3629568830206313im
0.4,0.058427014259177734 - 0.33095517861103296im,0.9485085364167943 - 1.2749639886200113im
0.5,0.7041164766238763 + 0.22201488644019846im,-1.2354956014057565 + 4.912065751537821im
0.6000000000000001,1.4450445808338235 - 0.060773514556998684im,4.495906353861219 + 5.360932444121104im
0.7000000000000001,-0.1720827590418365 - 0.3546225048347752im,-1.1360744687114017 - 0.8505153482141815im
0.8,-0.34949318434357846 + 0.10687915557237848im,-1.9000341094444275 - 3.330386619583251im
0.9,0.4224796525572637 - 0.3629357652603679im,1.2317178958873176 - 1.6011478635740197im
1.0,0.7562338627999157 + 0.6147921531697611im,2.4374259300670698 + 0.6059748099562294im
1.1,-0.05159889111368832 - 0.04651518747585395im,5.369730092293654 + 3.8883535596300476im
1.2000000000000002,0.6432410478363151 + 0.4329490567043051im,-0.6457939858733002 - 1.791008003138344im
1.3,0.035909003025629466 - 0.5787144542300615im,3.516462647953363 + 3.585866505356428im
1.4000000000000001,-1.044521942613405 - 1.438603483058585im,0.8637700859744044 + 4.211213903977754im
1.5,0.026216606906967366 - 0.5191286080434901im,2.0519640869163647 + 1.4923753621960105im
1.6,-0.0007823575246464487 + 0.026177850866929864im,-0.3081003544623467 + 2.4234302803514463im
1.7000000000000002,0.36403248103486485 - 0.2552915913569042im,5.945220920966181 + 6.853970642048278im
1.8,-1.7120644846374582 - 0.0489467904870704im,1.494679098658575 - 2.869971435767335im
1.9000000000000001,1.0818560103123331 - 0.452332482040842im,3.843850564440044 + 2.5330360162596364im
2.0,0.4252496370225888 - 0.35851846768842643im,14.418381142204499 - 0.662471246597295im
2.1,-0.2261131385454942 - 0.12401474697318993im,-1.3125099792544592 + 3.6054135313206825im
2.2,-0.15750396472042205 - 0.2467522614923426im,-2.410077530867949 - 5.21307391326897im
2.3000000000000003,1.1312560040434356 - 0.44985965714375276im,-1.0683873301480211 - 5.858061785791876im
2.4000000000000004,0.005299708512986466 - 0.008062907890666824im,-2.6186669687641055 + 4.055767797381247im
