freq,PowerSpec,sum
0.0,-8.64863736182997e-14 + 0.0im,-1.1548539902150878e-11 + 0.0im
0.1111111111111111,1.3630744254618459 - 2.4695971894925326im,-176.76158297683355 - 314.3631771899486im
0.2222222222222222,0.4810881156809925 - 0.9829038130075376im,-81.56139947766506 - 308.3130673933583im
0.3333333333333333,0.38048200269719695 - 0.22476867785252472im,75.78971989627846 - 254.9087797792836im
0.4444444444444444,-2.631293169605584 - 1.5542213927361606im,62.47221296687242 + 62.895375534316464im
0.5555555555555556,0.10645124701866229 + 0.11946647488031878im,134.91489978755806 + 10.158762896326397im
0.6666666666666666,-0.6196753764320608 - 0.9059104019127817im,-24.629869539436335 - 116.45670986370936im
0.7777777777777777,-0.12556923550162924 + 0.7028215416319388im,-15.760601556104492 - 49.75518525027075im
0.8888888888888888,-0.9125257877402038 + 0.036802985121129894im,196.549353993143 - 113.80982165116163im
1.0,-1.5052953156162183 + 5.053480931731189im,29.5704069695945 - 207.41454591428558im
1.1111111111111112,-1.3932903042985105 - 2.3807980452042123im,85.47397984951749 + 86.83899339049024im
1.222222222222222,-0.33603632785173393 - 1.4840940365956974im,53.977648338878126 + 67.38912221074915im
1.3333333333333333,-1.2342006920438862 - 3.2777961219479086im,-203.5908695603977 - 76.60263349767061im
1.4444444444444444,-13.21027329059853 - 6.1109696331451495im,-75.48690388539967 - 350.4751374823296im
1.5555555555555554,3.304186243325485 + 1.6204291770861512im,68.11349230539388 + 222.67949409566745im
1.6666666666666665,1.5164013206271874 + 0.33363768736742816im,19.043300513680318 + 25.929212199752666im
1.7777777777777777,0.8944506141587261 + 0.10541764021312106im,112.32684410875746 - 98.38635041058609im
1.8888888888888888,1.9474880011367204 - 0.16085921311375168im,15.25956271582024 - 36.561197344223935im
2.0,3.6220014783371353 - 1.1830290783048976im,20.785178963767933 + 113.42413109048417im
2.111111111111111,5.478283691768409 + 6.571990813464405im,-220.1659213251159 + 93.0453417678483im
2.2222222222222223,-0.21056658949045426 - 0.709331713171707im,141.35879385269095 + 115.63240622952544im
2.333333333333333,2.3728483068464907 + 0.5767968975831247im,-56.68565354210804 - 32.53413332489759im
2.444444444444444,2.1650003270104534 + 0.41491296128756083im,-58.96152464472273 - 134.96474633996593im
2.5555555555555554,-0.8432458267836025 + 1.0472736539746674im,34.02152285643153 + 83.12706443023026im
2.6666666666666665,0.9258934744189455 + 1.2329404967541868im,-55.88015231723556 + 137.43620380095695im
2.7777777777777777,1.7287791136438808 + 2.223261584371346im,21.875593114141616 - 153.3287972179745im
2.888888888888889,2.7682484123865647 + 4.670365846483374im,2.596009382348715 - 107.02470641585697im
3.0,-1.614118827848352 - 3.462122329887231im,23.428451995895916 + 104.77490595468231im
3.1111111111111107,-1.3412041332363376 + 8.158147891919555im,40.27909903856394 + 46.34102727372211im
3.222222222222222,0.20607625763747262 - 5.736543093008332im,76.35570070570618 + 32.940517346386585im
3.333333333333333,0.24378817968286715 - 3.7154378060410536im,-60.71768573981526 - 45.97726960521883im
3.444444444444444,0.4948328273096342 - 1.9637009843349222im,28.493578051892804 - 110.20462014263904im
3.5555555555555554,-0.25952894972506213 - 4.6644259289601235im,33.3002891326565 + 53.297398852214535im
3.6666666666666665,1.1793586466019073 - 0.7831606607206688im,197.578961532988 - 81.85934029109818im
3.7777777777777777,3.258863466215327 - 2.2766130983295048im,22.828189006263585 + 56.884045725784176im
3.888888888888889,-0.5603176711832016 - 0.5455708591147346im,-169.36341073120323 + 17.467699130547608im
4.0,10.207903938961515 - 0.19388056680324564im,22034.456943105448 + 111.82003268458897im
4.111111111111111,0.023598643655128648 - 0.009319313901659187im,-208.98127417919704 - 64.23934616074116im
4.222222222222222,0.21020296228766533 - 0.4384003197400135im,22.279484115460697 + 101.3510745971098im
4.333333333333333,0.3813997328592304 - 1.0108185383935833im,-73.2712520612558 - 32.89661459987104im
4.444444444444445,-3.901774332522465 + 3.729135931705828im,-17.77017692198862 + 238.83572991483368im
4.555555555555555,0.6078949784848766 + 0.49323274764360603im,-44.36637127513015 + 64.22323247009994im
4.666666666666666,-2.349719780943322 + 0.5516298104330422im,39.274014255264 + 27.124954404558327im
4.777777777777778,-0.5441972904191268 + 0.36284101188392226im,30.969004176276844 - 84.47250031134101im
4.888888888888888,-0.4672767075466183 + 0.4997514220545196im,31.756871951915173 - 36.90707039078438im
5.0,-0.9920769263914945 + 1.5467828793162282im,54.72197254501314 - 16.309974028199417im
5.111111111111111,1.1873677817445687 - 2.648889672071544im,-33.47114472934705 - 0.20268249336027822im
5.222222222222222,2.8746488282467904 + 5.450405997788481im,11.363736752513883 + 28.33890042594409im
5.333333333333333,0.7862914333567131 + 0.5913259772716237im,56.92960277519932 + 102.06913686280635im
5.444444444444444,-5.886095488282524 + 4.907090977353814im,86.81145639345844 - 13.84948582657671im
