freq,PowerSpec,sum
0.0,-2.7755575615628914e-15 + 0.0im,-4.761746552617296e-13 + 0.0im
0.1,0.05351187915156791 - 1.7028933740058327im,4.010955091622579 - 20.51979425764728im
0.2,0.27412551799711193 - 0.4113213245485886im,-5.91948450370093 + 1.504444885143137im
0.30000000000000004,-0.2284491493656236 + 0.2711620527960695im,-6.395127466103224 - 23.707404904311666im
0.4,0.020616717455152894 + 0.3684159167863107im,-11.38934688621276 + 4.178899077551594im
0.5,0.5589810086138477 + 0.10989605098891711im,2.899243307446901 + 1.1340032395251352im
0.6000000000000001,-0.17029416164507583 + 0.09285818517253552im,-5.953282883608615 - 6.00950374388298im
0.7000000000000001,0.2958496346583669 - 0.21442343636272232im,-23.90133859276215 + 1.6584466078405367im
0.8,0.052746580879764526 - 0.8659824268948754im,14.905744690164111 + 1.2086011398023744im
0.9,-0.615792391645745 - 0.05423382691280719im,8.59188574330886 + 2.3141390284319017im
1.0,0.025282494168344015 - 0.1218989666469811im,-5.448783249579807 + 10.073387207150123im
1.1,-0.04232952952525254 - 0.17834783164211893im,4.547281392718784 - 21.202171972851893im
1.2000000000000002,0.396411548959301 + 0.21176968543092944im,-3.1047980382827562 + 14.771445322847569im
1.3,0.4324860557810476 - 0.24561930300831256im,-9.837009457963163 - 9.976789927245456im
1.4000000000000001,-0.31860615320531704 + 0.04721356602412341im,-16.92509277230203 + 4.976988513928292im
1.5,-0.2508488486902149 + 0.30029123450137496im,-3.4018322073081517 - 6.900935474608206im
1.6,0.26133675285199354 + 0.020285877381914258im,-1.6091690438352297 - 7.636002182133684im
1.7000000000000002,-0.04012316778782661 - 0.020271454157826857im,1.4685832135131938 - 2.5431734147159744im
1.8,0.16173797366699905 - 0.05862279690241623im,-5.790265892758276 + 2.209830935579894im
1.9000000000000001,-0.025153570245364687 + 0.33566823281156644im,10.00224729979613 - 5.091441780743502im
2.0,0.18939710049489122 + 1.2107089289299928im,29.470526719331126 - 9.399133230785562im
2.1,0.15903480186903327 - 0.35409085968650517im,-0.05564734964862453 - 0.6787028716515695im
2.2,-0.04548046374503352 + 0.05082276657865481im,-21.57834493209651 - 6.741594894466558im
2.3000000000000003,-0.2495630319685315 - 0.20325341720246304im,6.663405647092986 + 5.000369971514501im
2.4000000000000004,0.23204885177670603 - 0.37308097523980577im,4.020656740618184 + 0.04038014920608207im
2.5,0.23051134534384718 - 0.027647919335434312im,3.8519372381877277 + 7.216250712447011im
2.6,-0.03488339099721163 + 0.46080795657300067im,-18.264567119056352 + 0.6904421403277747im
2.7,0.3680990511772787 + 0.7643270369502897im,-12.558359230280754 - 25.092470586291398im
2.8000000000000003,0.03328600061532275 - 0.5684220566745438im,2.371302670810973 + 2.68916065625653im
2.9000000000000004,0.15923162459358514 - 0.21121462233660618im,4.363604499257937 - 10.137557789064962im
3.0,0.12588988093205525 + 0.42698684247551577im,-1.5748612041021053 + 10.69586224037281im
3.1,0.5847702100641461 + 0.1983606329500054im,19.171830689069775 + 4.18742545802146im
3.2,0.6940546065885657 - 1.3682505327884806im,2.8623208712425834 - 1.2473554445561155im
3.3000000000000003,0.19330090509942408 - 0.605045026038333im,8.477217662286977 + 7.962782758782833im
3.4000000000000004,-0.09255401010837143 - 0.5193761321489424im,4.460533436643933 - 16.597213134851316im
3.5,0.2747644895652849 - 0.2365491159905624im,2.0998521915372788 + 1.115484620218051im
3.6,-0.5377746824238537 + 0.14451844294036076im,9.33031546018671 + 17.499617086586497im
3.7,0.05966959040890524 + 0.07786008085272157im,-5.662430185083037 + 13.418526301945223im
3.8000000000000003,-0.2305649329988559 - 0.41878508465355685im,-5.710943729631026 + 6.766983042439945im
3.9000000000000004,-0.6267320132046658 - 1.3470194742348065im,4.255646101590512 - 10.080176038122154im
4.0,0.00543203991203485 + 0.2801609883347064im,19.43876144344734 - 1.543990497241548im
4.1000000000000005,-0.2968362502844637 - 0.2230305460034463im,6.629346439670371 + 20.96573153460132im
4.2,-0.10891197408903684 - 0.008789673297611489im,18.788435845293897 + 2.2431141560904075im
4.3,0.05098958977823481 - 0.16039566518852516im,-5.109492663753573 + 14.463518194043248im
4.4,-0.05486244893491726 - 0.1502704868534861im,-19.320950530897974 + 0.2456319926804323im
4.5,0.003910460224623241 - 0.1366516737821412im,-3.9685119350508824 + 6.719172954646294im
4.6000000000000005,0.12907910437987263 + 0.3352133277263056im,12.018652281619055 - 17.586264553520365im
4.7,-0.14008934770815257 + 0.3409280164091032im,9.888457469089406 - 4.605218544164662im
4.800000000000001,0.23705264545811966 + 0.1360050546481988im,-12.873206252443545 + 8.139317041615573im
4.9,0.4048915448326541 - 0.03728953128537922im,4.57629275529708 - 9.451620085711326im
-5.0,-1.3570508173029265 + 0.0im,12.865216627905925 + 0.0im
-4.9,0.404891544832654 + 0.03728953128537918im,4.576292755297083 + 9.45162008571132im
-4.800000000000001,0.23705264545811955 - 0.13600505464819873im,-12.873206252443556 - 8.13931704161557im
-4.7,-0.14008934770815262 - 0.34092801640910325im,9.888457469089413 + 4.605218544164668im
-4.6000000000000005,0.12907910437987263 - 0.3352133277263055im,12.018652281619065 + 17.586264553520373im
-4.5,0.003910460224623213 + 0.13665167378214116im,-3.968511935050876 - 6.719172954646301im
-4.4,-0.05486244893491718 + 0.1502704868534861im,-19.32095053089798 - 0.24563199268042823im
-4.3,0.05098958977823474 + 0.16039566518852516im,-5.1094926637535805 - 14.463518194043244im
-4.2,-0.10891197408903686 + 0.0087896732976116im,18.788435845293876 - 2.2431141560904067im
