freq,PowerSpec,sum
0.0,3.019806626980426e-14 + 0.0im,1.6764367671839864e-14 + 0.0im
0.1,-0.6760757484081771 + 2.794271240010705im,-7.335934316375523 + 9.274861027993115im
0.2,-0.8165372504944732 - 1.3507868597823185im,-1.2103140093216105 + 1.1923652576855668im
0.30000000000000004,-0.6878080176966692 - 0.5233761079837556im,-1.0758424736077217 - 1.6157985758620388im
0.4,-0.9912506139062112 + 0.6094258060914162im,-1.0841187344141208 - 0.7529180688239006im
0.5,-0.8237737639126826 + 0.4749489533261643im,1.5844952509214933 + 0.970402550375286im
0.6000000000000001,0.284052075354234 - 0.5997718567674541im,0.4113621747308121 + 0.7614876545596332im
0.7000000000000001,-0.5761984921433365 - 0.07046161734321793im,-2.331353839043716 - 1.8897632429161497im
0.8,0.7594416678957322 - 0.05385302998843833im,4.754453085985824 + 0.33205168107122257im
0.9,0.5278523234591268 + 0.46995650370508546im,-0.5599454634580849 - 1.7954332746353807im
1.0,-1.6438284407029555 + 0.1481580632656692im,-3.663451625757202 + 0.7067483920573318im
1.1,2.2878203236933476 - 1.556908123998988im,3.0253175115293094 - 2.5329509024861245im
1.2000000000000002,-0.022270485284745956 - 0.8157059556917887im,2.695264862290557 - 0.9828053344391664im
1.3,-0.5130214545306713 - 0.7574505649459675im,-0.7799613079862389 + 0.633746059105833im
1.4000000000000001,0.8849397995841946 + 0.22720013861207677im,0.3059034007724256 - 3.699581835907773im
1.5,-0.6415385918457556 + 0.01541569233055387im,2.091279408025402 - 1.5510554470782953im
1.6,-1.0276385741944278 - 0.8233603000068259im,2.480956836686323 + 1.1343512910863023im
1.7000000000000002,-0.045067551346961054 + 0.010465255517094485im,2.5303986087284422 + 5.527263819295762im
1.8,-0.544013254755152 + 0.7787332872369676im,-0.05845069967708616 + 1.1803475569036759im
1.9000000000000001,1.3301915003111513 - 1.347442626429359im,-0.24664087155867875 - 3.1337386883405376im
2.0,4.129231092408114 - 0.7353557025563335im,19.160349676882195 - 2.321474473148788im
2.1,0.6341781062115339 - 0.41835232741241213im,0.5840584207914876 + 1.1669586977433248im
2.2,0.9475379869343807 - 0.5199802796832173im,3.2163364752446935 - 0.345693404546091im
2.3000000000000003,-1.8479282395626515 - 0.3229242647196137im,-0.7557688762670618 - 2.261178565862177im
2.4000000000000004,-0.9702659945541917 - 1.337271478215495im,-0.9460942261442626 - 5.339805816831786im
2.5,0.264488390124415 + 0.9608917494494598im,4.006944743001769 + 2.719932338787781im
2.6,-0.005537774717976063 + 0.3682508844422472im,-1.7767488743158257 + 1.8916976312966582im
2.7,-0.29205206349842694 - 0.0661425997752963im,-1.4045461146565188 + 1.0932368553251806im
2.8000000000000003,0.06795228678248116 + 0.1436994180344045im,1.9877231906124382 + 3.099556203122803im
2.9000000000000004,0.2274985427884666 + 0.1941806915641624im,3.074271551367471 + 0.1879623212568119im
3.0,-0.7971542578687026 - 0.042782168529716925im,-2.6724529519116405 + 0.24716039929720665im
3.1,0.6734878517645977 - 0.6022314326986669im,2.5466854115305804 - 0.6740976410147448im
3.2,-0.08065056983814545 - 0.6773182477495123im,-0.5031480971293056 - 2.934158278268832im
3.3000000000000003,0.7799086802002975 - 0.22674853076002707im,4.396629053436849 + 0.1946572545307951im
3.4000000000000004,-0.4740791881386411 + 0.26759596272798836im,0.06353899110811173 + 0.6877392402242053im
3.5,-0.9117478554551172 - 0.004474967280693187im,1.0369325124086153 + 0.728250630800694im
3.6,0.03893639435520968 - 0.08087189972090458im,2.3980008933011545 - 2.8388862504219556im
3.7,-1.4038501691508454 + 1.1304296708490071im,-0.23183875544546462 + 3.1186820933892343im
3.8000000000000003,-2.019229255747832 + 1.450476906740514im,0.1896016533076308 + 4.043260079541546im
3.9000000000000004,-0.15728452394046183 - 1.207587423059107im,-0.6936905066212666 - 2.1129174002439526im
4.0,6.208658954046907 - 1.2359391425089767im,16.55576753849897 + 1.3464025832578423im
4.1000000000000005,0.29121719805897645 + 0.549103801090457im,1.1062743172416343 + 3.780880947662517im
4.2,1.4716789803575112 + 0.04971920413712383im,2.538918518617292 - 0.22655357638951973im
4.3,-1.0311396318351798 - 1.0949282691252837im,-0.6523811135032742 - 1.7272340048366264im
4.4,0.23527750358370042 - 0.6747265459128121im,0.2617733577170196 - 3.8304504704866926im
4.5,-0.05469799599815811 + 0.0014026412916145203im,-0.9595803461739663 - 1.165516306596614im
4.6000000000000005,0.9857799324040123 - 0.5180641401888445im,1.2953598561096475 + 0.3851513999223758im
4.7,0.7226626206218519 + 0.40362533639465664im,0.7235952681266123 + 0.18054425128385693im
4.800000000000001,-0.4923097879620124 + 0.5179988689387686im,2.202518735426769 - 0.0978802950256209im
4.9,0.5856220557324876 + 0.20298754706419164im,0.3482046224485612 - 1.0004262484576145im
-5.0,-0.2908380383982081 + 0.0im,-1.7998758618739117 + 0.0im
-4.9,0.5856220557324876 - 0.2029875470641916im,0.34820462244856143 + 1.0004262484576145im
-4.800000000000001,-0.4923097879620123 - 0.5179988689387686im,2.2025187354267697 + 0.09788029502562057im
-4.7,0.7226626206218519 - 0.4036253363946567im,0.7235952681266123 - 0.18054425128385682im
