freq,PowerSpec,sum
0.0,-1.9684254226604025e-13 + 0.0im,1.3077317007059719e-12 + 0.0im
0.05263157894736842,-2.5386098128138275 - 21.759366026109866im,-78.80569316351959 + 43.30779167295457im
0.10526315789473684,-7.392216718934169 - 7.20786699747102im,-17.535475278285425 + 11.277175841248848im
0.15789473684210525,1.429798211997051 - 3.4541742429873623im,32.63877300962183 + 21.83003778199789im
0.21052631578947367,2.332412518352857 - 6.918058146687801im,3.9851991599877854 + 7.0908729845310114im
0.2631578947368421,-2.569207633890303 - 0.43228558690717434im,-2.5309647672943743 + 2.382023593345098im
0.3157894736842105,-0.8105157490091944 - 3.7783910041495643im,6.589157287583536 - 4.229001842062278im
0.3684210526315789,-1.0433242518571135 + 0.05574776468801712im,-3.546273309475315 + 8.630935424536776im
0.42105263157894735,-0.03663514856051653 - 1.850608918754282im,12.225155234328533 - 7.9075112644834595im
0.47368421052631576,0.49140934668547037 - 2.1459557375169087im,-18.05198106002018 + 26.124427672651628im
0.5263157894736842,-2.760657443680636 - 0.4339361496370442im,-17.86442348397464 - 2.7598136372656965im
0.5789473684210527,-0.9404942990048152 - 1.2446261771637834im,3.2769500292925406 + 5.104977547930871im
0.631578947368421,-0.5043281380806837 - 1.3878075720016767im,7.881652194421385 + 3.270731892042706im
0.6842105263157894,0.6699755406011939 - 2.1653580985203016im,-0.5151329317563637 + 4.5613495979993965im
0.7368421052631579,-0.9640292502378938 + 0.16770298388694976im,-0.04636054146314095 + 5.92396572539517im
0.7894736842105263,-1.8686972207808088 - 0.7927844457380311im,8.593994839844093 + 3.528531640214521im
0.8421052631578947,-0.5353472545250726 - 0.648050215625444im,12.627573997820322 + 2.4253107820870117im
0.894736842105263,-2.554864821771607 - 0.7833982227867957im,13.505223224312745 + 10.94994239741416im
0.9473684210526315,-1.987115183232162 - 0.6603698857177067im,3.446597761548319 + 7.681807209129719im
1.0,-2.220953774136972 - 0.4250358541502424im,-11.745466465895877 - 6.336736065485621im
1.0526315789473684,-0.5268793083344626 - 1.5902761950380935im,-6.659107705642846 + 0.6581299072489077im
1.1052631578947367,-1.7892326529080258 - 0.8835352487461224im,2.477093538825108 - 5.725446621272976im
1.1578947368421053,-1.7981802026297888 - 1.29251806579633im,-5.532827761457764 - 0.818215822598547im
1.2105263157894737,-3.873611498744987 - 1.2835017218058349im,-4.918339526620162 - 7.423680267827734im
1.263157894736842,-2.979118349182132 - 2.985140775039724im,2.1658762735349733 + 1.0829266111920934im
1.3157894736842104,5.22858292466447 + 2.3422464676848467im,6.96775195767224 + 15.523719454497366im
1.3684210526315788,1.4756504268069797 - 0.18640089038889343im,6.447598663518389 - 5.483669255003268im
1.4210526315789473,-1.5548692818598577 + 3.0507717088930195im,3.4309423661971565 + 0.26497112864468475im
