freq,PowerSpec,sum
0.0,2.815525590449397e-13 + 0.0im,-2.769673379532378e-12 + 0.0im
0.05263157894736842,-0.2917734243169538 + 2.070390381293997im,177.17808018628597 - 107.03277641943299im
0.10526315789473684,-0.08167640603538236 - 7.655438328240219im,42.21000171356326 - 76.0212990247047im
0.15789473684210525,-0.17664906251976265 - 2.9221385666325883im,-29.037862916021616 + 10.90634869563712im
0.21052631578947367,0.09228933287782748 - 3.004434628664952im,-19.754482684693727 + 43.807514188915896im
0.2631578947368421,3.7059798071749794 + 8.795829811936391im,5.436342974379252 + 15.028583113416088im
0.3157894736842105,-0.09959311113875044 - 7.249147670802518im,-6.450988616690222 - 20.07538067700738im
0.3684210526315789,0.36208678198653166 + 18.29912678730077im,1.0069862149959197 + 4.496605643132268im
0.42105263157894735,-0.2388639372862457 - 0.4081669726922653im,-7.845636666028134 - 29.745850468835098im
0.47368421052631576,1.402416942240722 + 8.17907749996887im,2.366676981842002 + 36.85765939380771im
0.5263157894736842,-0.025275134442587777 + 3.1085311172557764im,-14.023173301556943 - 3.263322513386797im
0.5789473684210527,0.16383419854961773 + 1.737029692710883im,38.665606393162705 - 0.8021762919746394im
0.631578947368421,0.8307375991728702 + 3.5025704381487826im,20.856171689826937 - 19.581708000634716im
0.6842105263157894,-1.3668064429646376 + 1.199028828527132im,29.839695580916054 - 12.695884414224489im
0.7368421052631579,-0.2303421224267558 - 10.967209643825445im,-68.8654313007287 - 53.11706596239519im
0.7894736842105263,6.882269999733177 + 2.1900715732201457im,-71.3627092892411 - 58.05232828746085im
0.8421052631578947,-4.424093997733116 + 0.7260722654416474im,-60.07895751822773 + 1.9018661262066188im
0.894736842105263,-1.3092784154149208 + 2.847365945224043im,-23.59496863666353 + 48.64777215991061im
0.9473684210526315,-1.963314216747278 - 2.6005473740721383im,35.51686391539672 + 61.68211082561639im
1.0,0.09569883414487233 + 1.0486120654944113im,78.28532919843089 - 65.17877012070242im
1.0526315789473684,0.7580352845449947 + 3.1475414337098315im,63.58092259985358 - 17.440402354174005im
1.1052631578947367,-2.7120881534690002 - 1.2828364932717835im,-38.642941099149056 - 48.87589552767761im
1.1578947368421053,-2.2871077036975263 - 0.21213394501736077im,19.593096523313047 - 12.786335521179126im
1.2105263157894737,-2.0110355586075253 - 0.15719136502754355im,-30.781529620833595 - 37.40417852377995im
1.263157894736842,-9.549533975885476 + 6.290183913247803im,7.731541111894417 + 23.648400310690562im
1.3157894736842104,-1.5627310798633054 - 2.8872032018685783im,7.669386532823778 - 26.983846319202563im
1.3684210526315788,-2.8049908126973757 - 3.696680940963174im,-26.698289882988462 + 57.10459544896825im
1.4210526315789473,0.5582701924023896 + 1.4139893704862203im,16.858495531052156 + 79.21041932045526im
1.4736842105263157,2.2498103692965516 - 4.102021294937025im,31.743799010824585 + 19.276323497693546im
1.526315789473684,-1.4064460839745474 + 3.5497345335808994im,22.74239255256548 + 36.459225903682196im
1.5789473684210527,-0.6563448656751967 + 1.54812712426242im,31.80071811948166 + 23.67245470603317im
1.631578947368421,-0.8369324710731239 - 1.3609050288810893im,6.376094493470979 + 17.879686289734046im
1.6842105263157894,-0.2619654462721939 + 1.4529697536564024im,-39.38215967462632 + 14.001087444356896im
1.7368421052631577,-0.755050650345623 + 0.7582994629688169im,-45.17083907836031 + 8.635087876158277im
1.789473684210526,0.0016109292152075017 + 0.5033767850587485im,22.692141532583776 - 21.898857871870497im
1.8421052631578947,-0.336918867620607 + 0.5723279757407205im,7.472686284119629 - 29.09753563871826im
1.894736842105263,-0.37632917591509385 + 0.5120585380132969im,45.151838853318154 + 61.10486497322519im
