freq,PowerSpec,sum
0.0,-5.984102102729594e-14 + 0.0im,-3.1086244689504383e-15 + 0.0im
0.06666666666666667,-3.7225104349025004 + 1.9773498780608805im,-15.823800929698539 + 6.613013902220736im
0.13333333333333333,-1.3325565068078453 + 0.9643282249002749im,2.0078145986174225 - 5.202216552439747im
0.2,0.020166952340833016 + 1.0593526060933653im,-1.9054373176651533 + 2.324787709656894im
0.26666666666666666,0.7260627964952932 + 0.060106022160592826im,2.499378587386687 - 3.9531279741875203im
0.3333333333333333,-1.9133526966280117 - 2.0475760470961286im,-3.091824803420568 - 3.750142182166041im
0.4,-0.97178509635209 + 0.83062782199347im,-1.656466427699942 + 1.8012675098503959im
0.4666666666666667,0.965097268179504 + 0.7145057977670904im,3.370348789474796 - 1.19297256329667im
0.5333333333333333,0.41389148796563896 + 0.4782960112235846im,2.0875848660198852 + 2.6643451931217235im
0.6,-0.7899983420217512 + 0.2943533734886016im,-2.71575505899804 + 1.8339592004887013im
0.6666666666666666,-1.6097649199745225 + 0.9328917742024839im,-0.3782016643636015 - 2.0925462561838657im
0.7333333333333333,0.2429886630123086 - 0.4262490603944008im,0.5814346334735865 - 0.10149901225674118im
0.8,0.612778653958937 - 0.05199060012063034im,1.4334906517393722 - 1.3385881316468546im
0.8666666666666667,-0.16039748585417282 + 0.7933201949482147im,0.7701234808522498 - 0.5133996006309014im
0.9333333333333333,0.44381324115127374 + 0.5770097026034329im,0.6836327448699729 - 1.1929416667258435im
1.0,-0.437294391618093 + 0.10244507286218454im,0.0955387270132072 + 2.342416588439543im
1.0666666666666667,-0.09551929132949383 + 0.08109238309953565im,0.015139906545948933 + 0.09277296220034653im
1.1333333333333333,-1.0464549724084127 - 0.15821260113339736im,1.662573669942975 + 0.7315391379251079im
1.2,-0.02930440684200797 - 0.7201758905941857im,-3.0685877276299194 + 1.3530226645280314im
1.2666666666666666,0.23921730047064546 + 0.8977008801651777im,-2.2027941366069923 + 0.13851380091448917im
1.3333333333333333,-0.48847893479285 + 0.512246181689906im,0.44717657732352833 + 1.6733993881541152im
1.4,-0.6153959965828185 + 0.5362977210841358im,-4.658013720115392 - 1.8481114174731572im
1.4666666666666666,0.8885646651580622 + 0.19966391797810662im,-0.20334489412735424 - 1.959017888789885im
1.5333333333333332,0.37769343597421584 + 0.48628985935769997im,3.056083223657496 + 1.8361941353369802im
1.6,0.0813632652604811 - 1.0041921867369203im,-0.009426377536668529 - 0.005914444347145165im
1.6666666666666667,-0.4195932862204709 - 0.5939794577365496im,-1.4224510834652073 - 1.7954120524085566im
1.7333333333333334,0.03201921544489289 - 0.38594887359504026im,1.0325185908493726 + 0.41366700950399193im
1.8,-0.07226301713489144 + 0.17729488542081706im,-0.9122210595101755 - 0.07018256762826744im
1.8666666666666667,0.480223809299741 + 0.32422529834149716im,-0.8378573330586805 + 1.4964663070434439im
1.9333333333333333,-1.1152077318709799 + 0.6833437225085793im,-0.9979540645442412 + 0.12743544760181458im
2.0,-0.5864799204466908 + 0.32494757598221513im,2.1908368436588193 + 1.2752827962113755im
2.0666666666666664,-0.46726589360243115 + 0.10341272416870789im,-0.6798486998691942 + 0.6572764027125804im
2.1333333333333333,-0.5636035958376262 + 0.04323321470213176im,-0.20911984998010924 + 2.6628100724258807im
2.2,-0.5929603769872214 + 0.21807827206446337im,-0.901322437049257 + 1.5732643035839478im
2.2666666666666666,0.4409527347728465 - 0.14452628619012012im,-2.472890106749034 - 1.0680891891996596im
2.3333333333333335,0.11287565458617166 - 0.00041420286125715133im,1.4736587540560238 + 0.0896448434799147im
